﻿Title:,"Chart 6 - Percentage of UK domiciled entrants who did not leave within 50 days of commencement not continuing in HE after their first year by academic year"
Subtitle:,"Academic years 2014/15 to 2019/20"
Reference ID:,UKPIs Chart 6
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/performance-indicators/non-continuation/chart-6
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2022
Filters:,n/a,

"Age and level of study","2014/15","2015/16","2016/17","2017/18","2018/19","2019/20"
"Mature first degree","12.3%","12.7%","13.0%","13.6%","13.5%","11.9%"
"Mature other undergraduate","17.5%","14.9%","14.8%","15.4%","16.3%","15.0%"
"Young first degree","6.5%","6.6%","6.5%","6.8%","6.7%","5.3%"
"Young other undergraduate","17.2%","17.1%","16.9%","15.7%","15.8%","15.6%"